false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
0.056,0.7398242116708953,0.7462462462462462,0.7370152229068503,0.7447447447447447,0.726141718013773,0.7372372372372372
0.057,0.7412287060529177,0.7477477477477478,0.7412287060529177,0.7522522522522522,0.734777093149692,0.7432432432432432
0.058,0.7456505980427691,0.7477477477477478,0.7444545125045307,0.7537537537537538,0.7361815875317144,0.7462462462462462
0.059000000000000004,0.7470550924247916,0.7507507507507507,0.748667995650598,0.7567567567567568,0.7361815875317144,0.7567567567567568
0.06,0.7498640811888366,0.7537537537537538,0.7544943820224719,0.7612612612612613,0.7361815875317144,0.7627627627627628
0.061,0.7526730699528815,0.7552552552552553,0.7573033707865169,0.7627627627627628,0.7417995650598043,0.7642642642642643
0.062,0.754285973178688,0.7582582582582582,0.7587078651685393,0.7642642642642643,0.7476259514316781,0.7657657657657657
0.063,0.7627129394708227,0.7597597597597597,0.7617252627763682,0.7672672672672672,0.7604748097136644,0.7672672672672672
0.064,0.7627129394708227,0.7597597597597597,0.7705690467560711,0.7717717717717718,0.7681225081551286,0.7702702702702703
0.065,0.7685393258426967,0.7627627627627628,0.7721819499818775,0.7747747747747747,0.7697354113809352,0.7747747747747747
0.066,0.7685393258426967,0.7642642642642643,0.7735864443639,0.7747747747747747,0.7711399057629575,0.7747747747747747
0.067,0.7701522290685031,0.7657657657657657,0.7749909387459224,0.7777777777777778,0.77254440014498,0.7762762762762763
0.068,0.7731696266763319,0.7672672672672672,0.7749909387459224,0.7792792792792793,0.775561797752809,0.7822822822822822
0.069,0.7747825299021385,0.7747747747747747,0.7792044218919898,0.7807807807807807,0.7769662921348315,0.7837837837837838
0.07,0.7804005074302284,0.7807807807807807,0.7822218194998187,0.7837837837837838,0.7818050018122509,0.7837837837837838
0.07100000000000001,0.7832094961942733,0.7822822822822822,0.7866437114896702,0.7837837837837838,0.7818050018122509,0.7882882882882883
0.07200000000000001,0.7862268938021022,0.7822822822822822,0.792470097861544,0.7852852852852853,0.7832094961942733,0.7897897897897898
0.073,0.7890358825661472,0.7882882882882883,0.792470097861544,0.7852852852852853,0.7832094961942733,0.7897897897897898
0.074,0.7922616890177601,0.7897897897897898,0.7954874954693729,0.7882882882882883,0.7864353026458862,0.7912912912912913
