averaging,model,false_positive_rate,mean_true_positive_rate,ci95_low,ci95_high,run_count
macro,M_0,0.174,0.8741093508720998,0.7992216503937617,0.948997051350438,10
macro,M_0,0.175,0.8746114738026103,0.800044915641086,0.9491780319641345,10
macro,M_0,0.176,0.8754931545551561,0.8008529895792906,0.9501333195310215,10
macro,M_0,0.177,0.876145680376624,0.8019053695605508,0.9503859911926972,10
macro,M_0,0.178,0.876744312985025,0.8028114069235486,0.9506772190465014,10
macro,M_0,0.179,0.8771842395417817,0.8037046038224764,0.950663875261087,10
macro,M_0,0.18,0.8780429995231822,0.8046426932467812,0.9514433057995832,10
macro,M_0,0.181,0.8788951556397089,0.8058861526144359,0.9519041586649819,10
macro,M_0,0.182,0.8791926788986452,0.806232680005704,0.9521526777915863,10
macro,M_0,0.183,0.8796450210690667,0.8065660974225768,0.9527239447155567,10
macro,M_0,0.184,0.8808434092571661,0.8081594753295164,0.9535273431848158,10
macro,M_0,0.185,0.8815909441981205,0.8095020782984041,0.9536798100978368,10
macro,M_0,0.186,0.8819392175703946,0.8099829162313885,0.9538955189094007,10
macro,M_0,0.187,0.8821320163825698,0.8102779519600984,0.9539860808050411,10
macro,M_0,0.188,0.8823929310314966,0.8107505440570741,0.9540353180059191,10
macro,M_0,0.189,0.8835396011825845,0.8128041605593573,0.9542750418058116,10
macro,M_0,0.19,0.8841116885534012,0.8138366427618597,0.9543867343449426,10
macro,M_0,0.191,0.8848113257013426,0.8147928310023057,0.9548298204003794,10
macro,M_0,0.192,0.8849298854637775,0.814982351900578,0.954877419026977,10
macro,M_0,0.193,0.885334143881684,0.8153609963296171,0.9553072914337508,10
macro,M_0,0.194,0.8863335062058443,0.8172272882622927,0.9554397241493958,10
macro,M_0,0.195,0.88701497734887,0.8182743460210025,0.9557556086767376,10
macro,M_0,0.196,0.8873479381073069,0.8189115983512827,0.9557842778633312,10
macro,M_0,0.197,0.8881146364718655,0.8197747788216552,0.9564544941220758,10
macro,M_0,0.198,0.8890555383801638,0.8211289757579018,0.9569821010024259,10
macro,M_0,0.199,0.8895396557607624,0.8220629398195913,0.9570163717019335,10
macro,M_0,0.2,0.8897814997323937,0.8223181659762011,0.9572448334885864,10
macro,M_0,0.201,0.8902343547157123,0.8227331418682032,0.9577355675632214,10
