run,false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
1,0.06,0.6099625360230547,0.5619834710743802,0.6952219020172911,0.6776859504132231,0.5128299711815562,0.5053128689492326
1,0.061,0.6138443804034582,0.5655253837072018,0.6952219020172911,0.6776859504132231,0.5172708933717579,0.5064935064935064
1,0.062,0.61728530259366,0.5737898465171193,0.7005446685878962,0.680047225501771,0.5217118155619597,0.5112160566706021
1,0.063,0.61728530259366,0.5761511216056671,0.701985590778098,0.6835891381345927,0.5241527377521614,0.5182998819362455
1,0.064,0.6182853025936599,0.5808736717827627,0.7054265129682997,0.6883116883116883,0.5251527377521614,0.5194805194805194
1,0.065,0.6222853025936599,0.5832349468713105,0.7098674351585015,0.69185360094451,0.5280345821325648,0.5242030696576151
1,0.066,0.62528530259366,0.5867768595041323,0.7123083573487031,0.7001180637544274,0.5344755043227666,0.526564344746163
1,0.067,0.6302853025936599,0.5879574970484062,0.7143083573487031,0.704840613931523,0.5344755043227666,0.5289256198347108
1,0.068,0.6331671469740634,0.5926800472255017,0.7177492795389049,0.704840613931523,0.5379164265129683,0.5301062573789846
1,0.069,0.6356080691642652,0.5985832349468713,0.7187492795389049,0.7095631641086186,0.5437982708933717,0.5301062573789846
1,0.07,0.6370489913544668,0.5985832349468713,0.7197492795389049,0.7107438016528925,0.5496801152737751,0.5312868949232585
1,0.071,0.6380489913544669,0.5985832349468713,0.7211902017291066,0.7107438016528925,0.551121037463977,0.5312868949232585
1,0.072,0.6414899135446686,0.602125147579693,0.7221902017291066,0.7131050767414404,0.5555619596541786,0.5336481700118064
1,0.073,0.6424899135446687,0.6033057851239669,0.7241902017291066,0.717827626918536,0.5555619596541786,0.5360094451003542
1,0.074,0.6474899135446686,0.6068476977567887,0.7276311239193083,0.7213695395513577,0.5565619596541787,0.5395513577331759
1,0.075,0.6503717579250721,0.6092089728453365,0.7306311239193084,0.7213695395513577,0.5575619596541787,0.5395513577331759
1,0.076,0.6503717579250721,0.615112160566706,0.7326311239193084,0.7249114521841794,0.560443804034582,0.5419126328217237
1,0.077,0.6518126801152737,0.615112160566706,0.7356311239193083,0.7260920897284534,0.560443804034582,0.5419126328217237
1,0.078,0.6528126801152738,0.6233766233766234,0.74007204610951,0.7272727272727273,0.5618847262247839,0.5478158205430933
1,0.079,0.6542536023054755,0.6292798110979929,0.7445129682997118,0.7284533648170012,0.5618847262247839,0.5501770956316411
1,0.08,0.6552536023054756,0.6316410861865407,0.7459538904899136,0.7331759149940968,0.5633256484149856,0.5525383707201889
1,0.081,0.6552536023054756,0.6328217237308147,0.748835734870317,0.7367178276269185,0.5663256484149856,0.5537190082644629
1,0.082,0.6562536023054755,0.6328217237308147,0.7498357348703171,0.7378984651711924,0.5692074927953891,0.5560802833530106
1,0.083,0.6562536023054755,0.6363636363636364,0.7518357348703171,0.7378984651711924,0.5692074927953891,0.5560802833530106
1,0.084,0.6576945244956772,0.6387249114521841,0.752835734870317,0.7426210153482881,0.5702074927953891,0.5560802833530106
1,0.085,0.6596945244956772,0.6399055489964581,0.752835734870317,0.7449822904368358,0.5702074927953891,0.5596221959858324
1,0.086,0.6625763688760806,0.6469893742621016,0.7552766570605187,0.7449822904368358,0.5722074927953891,0.5619834710743802
1,0.087,0.6655763688760807,0.6493506493506493,0.7567175792507205,0.7473435655253837,0.5732074927953891,0.5619834710743802
1,0.088,0.6655763688760807,0.6552538370720189,0.7597175792507205,0.7485242030696576,0.5732074927953891,0.5655253837072018
1,0.089,0.6675763688760807,0.6552538370720189,0.7607175792507205,0.7497048406139315,0.5732074927953891,0.5655253837072018
1,0.09,0.6734582132564841,0.6552538370720189,0.7621585014409222,0.7497048406139315,0.5756484149855907,0.5678866587957497
1,0.091,0.6754582132564841,0.6576151121605667,0.7631585014409221,0.7508854781582054,0.5756484149855907,0.5690672963400236
1,0.092,0.6788991354466859,0.6599763872491146,0.766599423631124,0.7508854781582054,0.5790893371757926,0.5726092089728453
1,0.093,0.6803400576368877,0.6646989374262101,0.7690403458213257,0.7532467532467533,0.5834121037463977,0.5737898465171193
1,0.094,0.6832219020172912,0.667060212514758,0.7719221902017291,0.7567886658795749,0.5862939481268011,0.5761511216056671
1,0.095,0.684221902017291,0.6717827626918536,0.7719221902017291,0.7591499409681228,0.5872939481268011,0.5761511216056671
1,0.096,0.6856628242074928,0.6753246753246753,0.7719221902017291,0.7603305785123967,0.5907348703170029,0.5785123966942148
1,0.097,0.6856628242074928,0.680047225501771,0.7729221902017291,0.7626918536009445,0.5921757925072046,0.5796930342384888
1,0.098,0.6856628242074928,0.6812278630460449,0.7763631123919308,0.7674144037780402,0.5946167146974064,0.5796930342384888
1,0.099,0.6866628242074928,0.6812278630460449,0.7763631123919308,0.7697756788665879,0.5956167146974063,0.5796930342384888
