lambda,selected_data_weight,C,selection_k_per_class,macro_auc_mean,macro_auc_std,fold_count,micro_auc_mean,micro_auc_std,mean_selected_count,macro_auc_se,micro_auc_se,complete_cv
0.0001,1.0,0.001,40,0.9862156874840675,0.003581246197489611,3,0.9861616446015583,0.0037187489294859656,51.0,0.0020676334561549508,0.002147020695487355,True
0.001,0.1,1.0,40,0.986178020723106,0.005112821739917863,3,0.9862849844528202,0.004882570552069782,79.33333333333333,0.0029518890078601492,0.0028189534225748288,True
0.005,1.0,1.0,40,0.9861719675189738,0.004991576398290327,3,0.9862325614711093,0.0047603050645789674,80.0,0.002881887977233503,0.002748363410459406,True
0.001,1.0,0.001,40,0.9861124072625792,0.0037528456241166445,3,0.9860851626579815,0.00388933558260266,80.0,0.002166706431310854,0.0022455089455844356,True
0.025,0.1,1.0,40,0.9860981888418632,0.005489581205521096,3,0.9860458231106196,0.005383283049621812,80.0,0.003169411186745915,0.0031080399178231026,True
0.005,0.1,1.0,40,0.9858968541778603,0.005280068417769652,3,0.9858642122956068,0.005114137387105448,80.0,0.00304844892233895,0.00295264859711806,True
0.005,1.0,0.001,40,0.9858708110844315,0.003901918249254338,3,0.9858628960791473,0.004034523926850169,80.0,0.0022527735515629056,0.002329333475218931,True
0.025,0.1,0.001,40,0.9858640408757284,0.0038910862770189535,3,0.9856599287864279,0.004179846224557832,80.0,0.002246519709476952,0.0024132353429197053,True
0.025,0.01,0.001,40,0.9858561455664904,0.0038742711725441473,3,0.9856417113409647,0.004164372443165578,80.0,0.0022368115043819707,0.0024043015510675065,True
0.001,0.1,0.001,40,0.985851972632346,0.0038158565522274355,3,0.9856724312248432,0.004091239913060339,80.0,0.002203085807617507,0.002362078465124728,True
0.005,0.1,0.001,40,0.985843748955262,0.003877586715811825,3,0.9856884691039327,0.00413076049624013,80.0,0.002238725734180074,0.0023848956844621117,True
0.0001,0.1,0.001,40,0.9858362797399259,0.0038021935795651113,3,0.985666541783797,0.004092677836147166,51.0,0.002195197486672984,0.002362908650405981,True
0.005,0.01,0.001,40,0.9858359294403324,0.003912636258764857,3,0.9856478116053005,0.004180981538937139,80.0,0.002258961597238981,0.0024138908169822134,True
0.01,0.01,0.001,40,0.9858357063367476,0.003864890468216966,3,0.9856376548692064,0.0041614929808455135,80.0,0.0022313955522134843,0.0024026390927218955,True
0.01,0.1,0.001,40,0.9858192018819031,0.003925418568965212,3,0.9856334745030008,0.004213115597678482,80.0,0.0022663414674740207,0.002432443424446683,True
0.001,0.01,0.001,40,0.9857991624462366,0.003909088618988998,3,0.9856234388313024,0.004173128359246788,80.0,0.0022569133664594003,0.0024093567815739944,True
0.01,1.0,0.001,40,0.9857741252343625,0.0040817633941097504,3,0.9855844012077579,0.004390849499440977,80.0,0.002356607194357625,0.002535058140473382,True
0.0001,0.01,0.001,40,0.9857668948033559,0.0038955551814486376,3,0.9855890339669039,0.004162051340220335,51.0,0.0022490998326524124,0.0024029614616572536,True
0.025,1.0,0.001,40,0.9856357378688919,0.004139464569736458,3,0.9854539593707171,0.00443906383251275,80.0,0.0023899209836382627,0.002562894698651168,True
0.0001,0.1,1.0,40,0.9855846741197735,0.005763443264501504,3,0.9855325382359474,0.00563292970094214,54.333333333333336,0.003327525520219079,0.003252173479165183,True
0.0001,1.0,1.0,40,0.9854719005883371,0.005673896776836931,3,0.9855538865905341,0.005538752089711313,54.333333333333336,0.003275825831460952,0.003197800009969429,True
0.001,0.01,1.0,40,0.9854093129388498,0.006100117193466453,3,0.9853888257168268,0.00599494255466007,79.33333333333333,0.0035219043037361215,0.0034611816977093346,True
0.0001,0.01,1.0,40,0.9852682289716337,0.006071013798043802,3,0.9852430214633104,0.00597411618133833,54.333333333333336,0.0035051014505545217,0.003449157585465784,True
0.01,0.01,1.0,40,0.9852468476320441,0.006010963184146588,3,0.9852389872477577,0.005921774067523968,80.0,0.003470431212455963,0.003418937851965108,True
0.025,0.01,1.0,40,0.9852463433942081,0.005981622434376218,3,0.9852064528773941,0.005939614266368331,80.0,0.003453491322677814,0.003429237895570298,True
0.005,0.01,1.0,40,0.9851377304829314,0.005924592283751003,3,0.9851337407413329,0.005854334594584106,80.0,0.0034205649498624214,0.0033800016541092725,True
0.001,10.0,0.001,40,0.9850441865395855,0.003238269059012519,3,0.9851458343582088,0.003210746783849325,80.0,0.001869615512929314,0.001853725519955133,True
0.005,1.0,10.0,40,0.984982418545882,0.0059736467640440875,3,0.9850032940641292,0.005779502584603661,80.0,0.003448886567264591,0.003336797373003062,True
0.005,10.0,0.001,40,0.9849549583875469,0.004090791021783836,3,0.9851536716597752,0.0041256751032380246,80.0,0.002361819297625402,0.0023819596314434105,True
0.0001,10.0,1.0,40,0.9849245347057759,0.005327656717469953,3,0.9849280797583914,0.005250079334766933,54.333333333333336,0.0030759240399811957,0.0030311347171945806,True
0.0001,10.0,0.001,40,0.9848758839033546,0.002786911441234701,3,0.9850412389102647,0.0028430947310631866,51.0,0.0016090240708045026,0.0016414615083109375,True
0.005,10.0,10.0,40,0.9848562804729283,0.005704976192652558,3,0.9847337031780933,0.005719869925775987,80.0,0.0032937695405483606,0.003302368441376411,True
0.01,10.0,0.001,40,0.9847171410418207,0.004875547882009512,3,0.9846123269919929,0.005034823166681666,80.0,0.002814898882125102,0.002906856510605824,True
