data_seed,selection_grid,fold,lambda,selected_data_weight,C,selected_count,selection_k_per_class,evaluated_class_count,macro_auc,micro_auc
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.1,0.01,80,40,2,0.9854168684190102,0.9851751610799212
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,1.0,0.01,80,40,2,0.9856384168170222,0.9853885119689848
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.01,0.1,80,40,2,0.9841557302587765,0.984004779059915
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.1,0.1,80,40,2,0.985579250438246,0.9853580332705472
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,1.0,0.1,80,40,2,0.9870533947164124,0.9869977872464932
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.01,0.1,80,40,2,0.9840094025749666,0.983901151485227
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.1,0.1,80,40,2,0.984922475016478,0.984644831727106
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,1.0,0.1,80,40,2,0.9860520878191036,0.985961511499613
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.01,0.1,80,40,2,0.9840336414735512,0.9839072472249144
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.1,0.1,80,40,2,0.9847763261911286,0.9846509274667936
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,1.0,0.1,80,40,2,0.986234237275408,0.9861870538680516
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.01,0.1,80,40,2,0.98397304422709,0.9837853324311638
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.1,0.1,80,40,2,0.9840719672644946,0.9838950557455396
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,1.0,0.1,80,40,2,0.984207248649776,0.9841084066346032
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.01,1.0,79,40,2,0.982769283861026,0.9821882486330304
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.1,1.0,79,40,2,0.9845547777931168,0.9843156617839792
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,1.0,1.0,79,40,2,0.985142055971423,0.9850471505464832
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.01,1.0,80,40,2,0.9822935847447984,0.9818346957311536
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.1,1.0,80,40,2,0.9839454070177536,0.9836146517199128
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,1.0,1.0,80,40,2,0.9844929285374312,0.9844802467555424
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.01,1.0,80,40,2,0.9823912557729788,0.9819688020042792
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.1,1.0,80,40,2,0.984359435736756,0.9840596407171028
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,1.0,1.0,80,40,2,0.9851502405345812,0.9848398953971068
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.01,1.0,80,40,2,0.9824263621116311,0.9819322275661542
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.1,1.0,80,40,2,0.984396151801554,0.9839621088821022
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,1.0,1.0,80,40,2,0.9847861204804328,0.98446195953648
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.01,10.0,79,40,2,0.9826557373558802,0.9819505147852166
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.1,10.0,79,40,2,0.9843478528628458,0.984151076812416
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,1.0,10.0,79,40,2,0.9852912239275876,0.9850562941560144
